0119_attend,0119_quiz_class,0123_quiz1,0126_attend,0127_quiz2,0201_homework0,0201_quiz3,0202_attend,0202_millionaire,0203_quiz5,0207_attend,0209_attend,0209_quiz6,0213_homework1,0214_attend,0216_attend,0301_quiz7,0304_exam1,0307_attend,0315_homework2,0327_quiz8,0330_attend,0402_homework3,0404_exam2,0406_attend,0411_attend,0413_attend,0413_quiz_class,0415_homework4,0430_homework5,0509_final,0510_extra,0510_group,total_sum,total_weighted
1,4.0,94.0,1.0,88.0,100,86.0,1,4.0,92.0,1.0,1,96.0,80,1.0,1.0,88.0,30.0,0.0,0,,1.0,90,69,0.0,0.0,1,97.0,90,80,57,8.0,100.0,1526.0,69.57
1,3.0,88.0,1.0,90.0,100,72.0,1,6.8,,1.0,1,,0,1.0,1.0,,53.0,1.0,10,,0.0,0,70,0.0,0.0,1,97.0,10,0,0,0.0,60.0,744.8,36.28
1,4.0,98.0,1.0,96.0,100,94.0,0,0.0,94.0,0.0,1,96.0,40,0.0,0.0,98.0,83.0,0.0,90,98.0,0.0,10,98,0.0,0.0,1,101.0,100,90,90,0.0,100.0,1779.0,89.3
1,3.0,90.0,1.0,96.0,100,92.0,1,5.0,96.0,1.0,1,98.0,10,1.0,1.0,90.0,57.0,1.0,70,94.0,0.0,10,75,0.0,0.0,1,105.0,100,20,56,0.0,100.0,1541.0,66.12
0,0.0,94.0,1.0,92.0,100,98.0,1,7.0,96.0,1.0,1,96.0,10,1.0,1.0,96.0,58.5,1.0,0,98.0,1.0,0,79,1.0,1.0,1,84.0,100,90,81,0.0,100.0,1579.5,73.24000000000001
0,0.0,94.0,1.0,,100,,1,3.7,,1.0,1,,0,1.0,1.0,,30.0,0.0,0,,0.0,50,64,0.0,0.0,1,60.0,10,0,27,0.0,60.0,586.7,40.150000000000006
1,5.0,80.0,1.0,98.0,100,94.0,1,10.0,90.0,1.0,1,90.0,0,1.0,1.0,90.0,53.0,0.0,0,80.0,0.0,0,62,0.0,0.0,1,68.0,100,0,81,0.0,100.0,1382.0,63.71
1,3.0,90.0,0.0,98.0,100,92.0,1,6.6,94.0,0.0,0,,30,1.0,1.0,,57.5,0.0,80,,0.0,90,74,0.0,0.0,1,81.0,100,100,73,0.0,80.0,1327.1,78.67
1,3.0,96.0,1.0,,100,,1,6.8,,0.0,0,,40,1.0,1.0,,60.0,1.0,50,,0.0,10,74,0.0,0.0,1,82.0,100,10,81,0.0,40.0,843.8,67.31
0,0.0,92.0,1.0,,100,,0,0.0,,1.0,1,,80,1.0,1.0,,73.0,0.0,80,,0.0,10,95,0.0,0.0,0,0.0,80,100,90,0.0,80.0,981.0,86.59
1,3.0,88.0,1.0,,100,,1,4.1,,1.0,1,,0,1.0,1.0,,77.0,0.0,10,,1.0,10,83,0.0,0.0,0,0.0,0,0,84,0.0,20.0,586.1,59.830000000000005
1,3.0,86.0,0.0,100.0,80,94.0,1,6.3,96.0,0.0,1,92.0,0,0.0,0.0,94.0,53.5,0.0,30,84.0,0.0,10,66,0.0,0.0,1,113.0,100,100,78,0.0,100.0,1565.8,71.05
1,3.0,96.0,1.0,98.0,60,100.0,1,4.5,100.0,1.0,1,96.0,0,1.0,1.0,100.0,47.0,1.0,100,98.0,0.0,100,57,0.0,0.0,1,75.0,100,100,62,0.0,80.0,1659.5,71.67999999999999
1,3.0,90.0,1.0,,100,,1,5.4,,1.0,1,,0,1.0,1.0,,59.0,0.0,10,,0.0,90,62,0.0,0.0,1,110.0,100,100,39,0.0,60.0,906.4,63.019999999999996
0,0.0,,0.0,,0,,1,5.6,,1.0,1,,110,1.0,1.0,,54.0,0.0,0,,0.0,74,74,0.0,0.0,0,0.0,0,0,46,0.0,80.0,529.6,50.44
1,4.0,,1.0,,100,,1,8.7,,1.0,1,,50,1.0,1.0,,75.0,1.0,10,,1.0,70,87,1.0,1.0,1,108.0,100,100,78,0.0,100.0,997.7,83.15
1,3.0,90.0,1.0,88.0,100,88.0,1,7.2,84.0,1.0,1,88.0,10,1.0,1.0,88.0,61.0,0.0,90,88.0,1.0,10,58,0.0,0.0,1,61.0,100,100,60,0.0,100.0,1533.2,70.77
1,3.0,84.0,1.0,82.0,100,82.0,1,9.4,90.0,1.0,1,86.0,0,1.0,1.0,82.0,62.0,0.0,0,76.0,0.0,0,63,0.0,0.0,1,84.0,100,90,67,0.0,100.0,1420.4,66.41
1,2.0,,0.0,,100,,1,6.0,,1.0,1,,30,1.0,1.0,,71.5,0.0,90,,0.0,10,60,0.0,0.0,1,111.0,100,100,84,0.0,80.0,923.5,78.33
0,0.0,66.0,1.0,88.0,100,88.0,1,6.1,84.0,0.0,0,82.0,20,1.0,1.0,,66.0,0.0,10,,0.0,0,68,1.0,0.0,1,93.0,100,20,89,0.0,100.0,1175.1,70.92
1,4.0,94.0,1.0,100.0,100,,1,7.7,,1.0,1,,50,1.0,1.0,,75.0,1.0,100,,1.0,60,71,1.0,0.0,1,112.0,100,100,95,0.0,100.0,1296.7,87.86
0,0.0,94.0,1.0,86.0,100,78.0,0,0.0,,1.0,1,,20,1.0,1.0,,48.0,0.0,100,,0.0,60,47,0.0,0.0,0,0.0,100,80,54,6.0,80.0,1006.0,64.75999999999999
1,4.0,72.0,1.0,,100,,1,9.1,,1.0,1,,0,1.0,1.0,,49.0,1.0,100,,1.0,100,99,1.0,1.0,1,78.0,100,100,80,0.0,100.0,1115.1,84.88
0,0.0,88.0,1.0,88.0,0,88.0,0,0.0,,1.0,1,,10,1.0,1.0,,53.0,0.0,10,,1.0,70,83,0.0,0.0,1,87.0,40,100,57,0.0,100.0,965.0,61.77
0,0.0,,1.0,,72,,1,5.4,,1.0,1,,0,1.0,1.0,,59.5,0.0,80,,0.0,90,65,0.0,0.0,1,97.0,100,70,61,2.0,100.0,890.9,72.03
1,5.0,100.0,1.0,98.0,100,100.0,1,6.8,98.0,1.0,1,98.0,60,1.0,1.0,98.0,80.0,0.0,100,100.0,0.0,10,89,1.0,0.0,1,89.0,100,100,89,0.0,100.0,1827.8,89.8
1,3.0,,1.0,,100,,1,10.1,,1.0,1,,0,1.0,1.0,,37.0,0.0,0,,0.0,0,38,1.0,0.0,1,103.0,100,20,23,2.0,80.0,583.1,42.76
1,3.0,90.0,0.0,64.0,80,,1,3.9,,0.0,0,,20,0.0,0.0,,59.5,0.0,0,,0.0,10,98,0.0,0.0,1,81.0,10,10,68,0.0,40.0,736.4,56.82000000000001
1,2.0,90.0,1.0,98.0,100,96.0,1,2.7,92.0,1.0,1,94.0,110,1.0,1.0,92.0,35.5,0.0,0,98.0,0.0,100,60,1.0,0.0,1,104.0,90,80,58,0.0,100.0,1679.2,72.06
0,0.0,74.0,1.0,,64,,1,3.6,,1.0,1,,0,1.0,1.0,,50.5,0.0,70,,0.0,90,67,0.0,0.0,1,95.0,100,70,54,0.0,80.0,909.1,66.4
1,4.0,94.0,1.0,96.0,100,98.0,1,3.6,98.0,0.0,0,100.0,10,0.0,0.0,100.0,61.0,0.0,100,92.0,0.0,10,71,0.0,0.0,0,0.0,0,100,53,0.0,40.0,1412.6,62.370000000000005
1,3.0,100.0,1.0,88.0,60,96.0,0,0.0,94.0,1.0,1,94.0,0,1.0,1.0,98.0,39.0,0.0,90,98.0,0.0,0,40,0.0,0.0,1,68.0,100,90,45,0.0,100.0,1448.0,57.64
1,4.0,,1.0,,100,,1,10.0,,1.0,1,,80,1.0,1.0,,69.0,1.0,100,,1.0,90,97,0.0,0.0,1,88.0,100,100,75,0.0,100.0,1136.0,86.8
1,4.0,,1.0,,100,,1,7.4,,0.0,1,,0,0.0,1.0,,62.0,0.0,0,,1.0,10,53,1.0,0.0,1,93.0,10,0,0,0.0,60.0,471.4,34.699999999999996
1,3.0,86.0,1.0,12.0,100,,1,7.4,,0.0,1,,10,0.0,0.0,,76.0,1.0,10,,0.0,60,82,0.0,0.0,1,71.0,100,100,85,0.0,80.0,979.4,78.35
1,3.0,90.0,1.0,80.0,100,88.0,1,7.1,88.0,0.0,0,82.0,10,0.0,1.0,84.0,47.0,0.0,80,84.0,0.0,90,75,0.0,0.0,1,96.0,100,100,46,5.0,80.0,1603.1,70.35
1,3.0,78.0,1.0,,0,,1,5.2,,1.0,1,,0,1.0,1.0,,45.0,0.0,0,,0.0,0,60,0.0,0.0,1,75.0,0,0,42,0.0,100.0,486.2,38.87
1,3.0,98.0,1.0,98.0,80,98.0,1,5.0,,1.0,1,,0,1.0,1.0,,59.0,0.0,0,,1.0,0,66,0.0,0.0,0,0.0,0,0,66,0.0,80.0,738.0,53.010000000000005
1,5.0,98.0,1.0,,100,,0,0.0,,1.0,1,,0,1.0,1.0,,57.0,0.0,10,,0.0,10,81,0.0,0.0,1,77.0,100,100,73,2.0,100.0,902.0,71.14
1,4.0,,0.0,,100,,1,3.9,,0.0,0,,10,0.0,1.0,,59.0,0.0,100,,0.0,100,83,1.0,0.0,1,78.0,100,100,66,0.0,100.0,1000.9,80.08
1,5.0,,1.0,,100,92.0,1,5.9,92.0,1.0,1,92.0,90,1.0,1.0,,61.0,0.0,100,,0.0,90,76,1.0,0.0,1,98.0,100,80,91,0.0,100.0,1367.9,86.22
1,4.0,94.0,1.0,88.0,100,92.0,1,6.0,94.0,1.0,1,92.0,100,1.0,1.0,96.0,63.0,0.0,90,98.0,0.0,80,96,1.0,0.0,1,64.0,100,100,82,0.0,100.0,1853.0,88.18
1,3.0,82.0,1.0,94.0,100,82.0,1,8.8,88.0,1.0,1,96.0,100,1.0,1.0,98.0,79.0,0.0,100,96.0,0.0,80,89,0.0,0.0,1,78.0,90,100,91,4.0,100.0,1771.8,91.36
0,0.0,,0.0,,100,,0,0.0,,1.0,1,,0,1.0,1.0,,74.0,0.0,70,,0.0,20,88,1.0,0.0,1,85.0,100,0,85,0.0,98.0,832.0,76.73
1,4.0,96.0,0.0,90.0,100,80.0,1,9.3,90.0,1.0,1,96.0,10,1.0,1.0,86.0,62.0,1.0,60,88.0,0.0,60,70,0.0,0.0,1,113.0,50,80,89,1.0,100.0,1609.3,77.27000000000001
1,3.0,92.0,0.0,90.0,100,92.0,1,4.4,98.0,1.0,1,92.0,10,1.0,1.0,92.0,54.0,0.0,0,94.0,0.0,0,97,1.0,0.0,1,83.0,0,0,71,0.0,60.0,1326.4,58.15
1,3.0,84.0,0.0,96.0,80,94.0,0,0.0,90.0,0.0,0,90.0,10,0.0,1.0,82.0,46.0,0.0,10,90.0,0.0,0,51,0.0,0.0,1,46.0,90,0,59,6.0,80.0,1251.0,52.769999999999996
1,3.0,78.0,1.0,48.0,100,46.0,0,0.0,72.0,0.0,0,42.0,0,0.0,0.0,64.0,45.0,0.0,0,46.0,0.0,40,67,0.0,0.0,0,0.0,100,80,39,0.0,80.0,1089.0,55.47
1,3.0,2.0,1.0,,100,,1,6.8,,1.0,1,,10,1.0,1.0,,58.5,0.0,10,,0.0,40,58,0.0,0.0,1,81.0,100,80,70,0.0,100.0,785.3,65.22
1,2.0,100.0,1.0,96.0,100,94.0,1,7.5,94.0,1.0,1,98.0,90,1.0,1.0,94.0,24.0,0.0,70,94.0,1.0,70,56,1.0,1.0,1,57.0,100,0,45,1.0,80.0,1538.5,61.739999999999995
1,4.0,94.0,1.0,96.0,100,94.0,1,0.1,98.0,1.0,1,,110,1.0,1.0,,65.5,0.0,100,,0.0,90,100,0.0,0.0,1,105.0,100,0,50,0.0,100.0,1429.6,81.73
0,0.0,94.0,1.0,98.0,100,98.0,0,0.0,,1.0,1,,10,1.0,1.0,,79.0,0.0,0,,0.0,0,88,0.0,0.0,0,0.0,100,10,76,0.0,40.0,888.0,65.42999999999999
1,4.0,98.0,0.0,,100,,1,7.0,,0.0,1,,90,1.0,1.0,,73.0,0.0,90,,1.0,0,88,1.0,0.0,1,114.0,100,100,94,1.0,100.0,1161.0,91.03
1,1.0,,1.0,,100,,1,7.2,,1.0,0,,0,0.0,1.0,,62.0,0.0,10,,0.0,90,98,0.0,0.0,1,79.0,90,80,83,1.0,80.0,906.2,78.23
1,4.0,98.0,1.0,96.0,100,92.0,1,4.1,98.0,1.0,1,96.0,80,1.0,1.0,98.0,56.0,0.0,10,92.0,0.0,50,71,1.0,0.0,1,80.0,50,20,63,2.0,80.0,1525.1,65.61
1,3.0,98.0,0.0,96.0,100,100.0,1,4.7,,1.0,1,100.0,10,1.0,1.0,90.0,33.0,0.0,100,98.0,0.0,100,66,0.0,0.0,1,28.0,100,100,56,0.0,100.0,1560.7,73.44000000000001
0,0.0,88.0,0.0,100.0,95,98.0,1,4.8,96.0,0.0,1,98.0,10,0.0,0.0,100.0,67.0,0.0,100,96.0,1.0,90,84,0.0,0.0,1,86.0,100,100,87,8.0,100.0,1801.8,87.88
1,3.0,82.0,1.0,,100,,1,4.8,,1.0,1,,90,1.0,1.0,,72.5,0.0,100,,0.0,100,87,0.0,0.0,1,88.0,100,100,80,0.0,100.0,1214.3,87.03
1,4.0,96.0,1.0,94.0,100,92.0,1,2.7,96.0,1.0,1,96.0,0,1.0,1.0,98.0,58.0,1.0,10,98.0,1.0,50,81,1.0,1.0,1,108.0,100,70,74,0.0,60.0,1585.7,70.69
1,3.0,,0.0,,100,,1,8.9,,0.0,0,,100,1.0,0.0,90.0,68.5,0.0,100,90.0,0.0,100,100,0.0,0.0,1,90.0,100,0,92,0.0,100.0,1345.4,92.06
1,2.0,98.0,1.0,96.0,100,90.0,1,5.2,92.0,1.0,1,86.0,70,1.0,1.0,90.0,48.5,0.0,0,82.0,0.0,0,69,0.0,0.0,1,64.0,10,100,71,0.0,60.0,1408.7,62.99
1,4.0,96.0,1.0,78.0,100,,1,6.2,,0.0,1,,10,0.0,1.0,,72.0,0.0,40,,0.0,90,100,0.0,0.0,1,96.0,100,100,68,1.0,100.0,1187.2,82.47
1,5.0,98.0,1.0,94.0,100,98.0,1,9.1,100.0,1.0,1,94.0,100,1.0,1.0,96.0,55.5,1.0,100,96.0,1.0,100,74,1.0,0.0,1,105.0,100,100,60,0.0,100.0,1886.6,79.09
1,3.0,82.0,0.0,,100,,1,3.5,,1.0,0,,0,1.0,1.0,,84.0,1.0,10,,1.0,10,92,1.0,0.0,1,99.0,100,70,79,0.0,100.0,949.5,77.14999999999999
1,2.0,98.0,1.0,100.0,100,98.0,1,4.9,98.0,0.0,1,96.0,100,1.0,1.0,,68.0,0.0,100,,0.0,0,100,0.0,0.0,1,113.0,100,90,64,7.0,60.0,1617.9,82.23
1,3.0,78.0,1.0,82.0,80,82.0,1,3.3,84.0,1.0,1,86.0,100,1.0,1.0,80.0,43.0,0.0,50,78.0,1.0,10,76,0.0,0.0,1,104.0,100,100,60,0.0,80.0,1555.3,70.75
1,5.0,98.0,1.0,22.0,100,,1,8.4,,1.0,1,,110,1.0,1.0,,77.0,0.0,100,,0.0,90,74,0.0,0.0,1,110.0,100,100,94,0.0,100.0,1283.4,91.06
0,0.0,76.0,0.0,84.0,100,,1,5.0,92.0,0.0,0,74.0,0,0.0,1.0,,44.0,0.0,0,,0.0,0,59,0.0,0.0,1,96.0,100,100,52,0.0,80.0,1040.0,58.540000000000006
